Label,Community
 extraction ,267
 extremely ,268
 f ,269
 facing ,270
 fact ,271
 far ,272
 fe ,273
 feature ,274
 feldman ,275
 fifth ,276
 fig ,277
 finally ,278
 first ,279
 follow ,280
 following ,281
 follows ,282
 form ,283
 formation ,284
 forming ,285
 forms ,286
 forward ,287
 forz ,288
 foundation ,289
 foundational ,290
 four ,291
 fourth ,292
 framework ,293
 framing ,294
 fraser ,295
 frey ,296
 front ,297
 func ,298
 function ,299
 functions ,300
 furthermore ,301
 future ,302
 fx ,303
 g ,304
 ga ,305
 gauge ,306
 gence ,307
 generalization ,308
 generalizations ,309
 generative ,310
 generically ,311
 github ,312
 given ,313
 gives ,314
 gram ,315
 grammar ,316
 grant ,317
 graphical ,318
 gray ,319
 great ,320
 greatly ,321
 gupta ,322
 h ,323
 han ,324
 hand ,325
 handled ,326
 happens ,327
 hav ,328
 havee ,329
 helpful ,330
 high ,331
 hold ,332
 holds ,333
 hope ,334
 hopefully ,335
 however ,336
 https ,337
 human ,338
 ibm ,339
 ic ,340
 ica ,341
 ideal ,342
 iden ,343
 identically ,344
 identifying ,345
 identities ,346
 identity ,347
 ieee ,348
 ifi ,349
 ifp ,350
 ii ,351
 iii ,352
 illustrated ,353
 illustrative ,354
 immediately ,355
 implied ,356
 implies ,357
 imply ,358
 important ,359
 increased ,360
 indeed ,361
 independent ,362
 indexing ,363
 individual ,364
 individually ,365
 induce ,366
 induces ,367
 inf ,368
 inference ,369
 info ,370
 infor ,371
 inform ,372
 informa ,373
 informally ,374
 information ,375
 informational ,376
 informations ,377
 ing ,378
 ings ,379
 inspired ,380
 institute ,381
 integration ,382
 intelligent ,383
 interact ,384
 interactions ,385
 interactive ,386
 interest ,387
 interested ,388
 interna ,389
 international ,390
 interpret ,391
 interscience ,392
 intersections ,393
 introduction ,394
 intu ,395
 intuitively ,396
 invariant ,397
 investigation ,398
 involved ,399
 involves ,400
 involving ,401
 irrelevant ,402
 isit ,403
 ition ,404
 ity ,405
 iv ,406
 j ,407
 james ,408
 january ,409
 john ,410
 joint ,411
 k ,412
 kamath ,413
 key ,414
 keywords ,415
 kf ,416
 kingdom ,417
 knowledge ,418
 known ,419
 kumar ,420
 l ,421
 labeled ,422
 laboratory ,423
 laid ,424
 language ,425
 large ,426
 last ,427
 latter ,428
 lattice ,429
 leads ,430
 learning ,431
 least ,432
 lect ,433
 led ,434
 lence ,435
 less ,436
 let ,437
 lett ,438
 letters ,439
 levels ,440
 li ,441
 lies ,442
 lift ,443
 like ,444
 limit ,445
 linear ,446
 lines ,447
 literary ,448
 little ,449
 liu ,450
 logical ,451
 long ,452
 lossless ,453
 lowercase ,454
 machine ,455
 mahoney ,456
 main ,457
 maintaining ,458
 major ,459
 makes ,460
 making ,461
 management ,462
 many ,463
 mapping ,464
 marked ,465
 markov ,466
 massachusetts ,467
 material ,468
 math ,469
 mation ,470
 maximal ,471
 may ,472
 mcgill ,473
 mcneil ,474
 mean ,475
 measure ,476
 measures ,477
 mechanics ,478
 memory ,479
 ment ,480
 method ,481
 methods ,482
 might ,483
 min ,484
 mind ,485
 minimal ,486
 model ,487
 monitor ,488
 mu ,489
 much ,490
 multi ,491
 multivariate ,492
 must ,493
 mutual ,494
 n ,495
 namic ,496
 narayan ,497
 nat ,498
 nature ,499
 necessary ,500
 need ,501
 needed ,502
 negative ,503
 nel ,504
 nervous ,505
 network ,506
 neural ,507
 neurons ,508
 neurosci ,509
 never ,510
 new ,511
 next ,512
 nication ,513
 nj ,514
 nm ,515
 nonlinear ,516
 nonnegative ,517
 nonzero ,518
 note ,519
 noted ,520
 noting ,521
 number ,522
 numbers ,523
 obser ,524
 observations ,525
 observed ,526
 obtained ,527
 obvious ,528
 often ,529
 ofx ,530
 ofy ,531
 optimally ,532
 order ,533
 org ,534
 organization ,535
 original ,536
 others ,537
 ously ,538
 outcomes ,539
 outlines ,540
 oxford ,541
 p ,542
 package ,543
 pages ,544
 pairs ,545
 paper ,546
 parent ,547
 parsimonious ,548
 part ,549
 particular ,550
 particularly ,551
 past ,552
 pend ,553
 performing ,554
 perhaps ,555
 perturb ,556
 phys ,557
 physics ,558
 play ,559
 ples ,560
 plication ,561
 pling ,562
 possible ,563
 pr ,564
 pre ,565
 precisely ,566
 predictability ,567
 predicted ,568
 prediction ,569
 predictive ,570
 presence ,571
 present ,572
 preserves ,573
 preserving ,574
 press ,575
 previous ,576
 primary ,577
 princeton ,578
 principled ,579
 pro ,580
 prob ,581
 probabilities ,582
 probability ,583
 problems ,584
 proc ,585
 procedure ,586
 proceed ,587
 proceedings ,588
 proceeds ,589
 process ,590
 processes ,591
 progress ,592
 proof ,593
 proper ,594
 properties ,595
 property ,596
 prove ,597
 provide ,598
 provides ,599
 psychometrika ,600
 put ,601
 putational ,602
 puting ,603
 python ,604
 quantifying ,605
 quantita ,606
 questions ,607
 r ,608
 random ,609
 randomness ,610
 range ,611
 rarely ,612
 rate ,613
 rather ,614
 read ,615
 reading ,616
 reasonable ,617
 recall ,618
 recently ,619
 reduce ,620
 reduced ,621
 reducing ,622
 reduction ,623
 ref ,624
 region ,625
 regularities ,626
 rela ,627
 related ,628
 relation ,629
 relations ,630
 relationship ,631
 relationships ,632
 remains ,633
 remarkably ,634
 remarks ,635
 remove ,636
 removed ,637
 rendering ,638
 replace ,639
 replaced ,640
 replacing ,641
 required ,642
 res ,643
 research ,644
 resolution ,645
 restriction ,646
 result ,647
 resulting ,648
 results ,649
 rev ,650
 reverse ,651
 reza ,652
 rich ,653
 risk ,654
 role ,655
 ryan ,656
 said ,657
 sam ,658
 santa ,659
 scaling ,660
 schreiber ,661
 sci ,662
 sciences ,663
 se ,664
 second ,665
 secret ,666
 section ,667
 securely ,668
 see ,669
 seen ,670
 selection ,671
 semi ,672
 separation ,673
 sequence ,674
 sequences ,675
 series ,676
 set ,677
 setting ,678
 settings ,679
 several ,680
 shannon ,681
 shape ,682
 shared ,683
 sheds ,684
 ship ,685
 ships ,686
 show ,687
 shown ,688
 signal ,689
 signatures ,690
 similar ,691
 similarly ,692
 simple ,693
 simultaneously ,694
 since ,695
 single ,696
 sionality ,697
 six ,698
 size ,699
 smaller ,700
 space ,701
 spin ,702
 springer ,703
 sta ,704
 stan ,705
 standard ,706
 stat ,707
 state ,708
 states ,709
 stationary ,710
 statistic ,711
 statistical ,712
 statistics ,713
 step ,714
 steps ,715
 still ,716
 stochastic ,717
 stored ,718
 straightforward ,719
 strange ,720
 structed ,721
 structural ,722
 structure ,723
 structured ,724
 studies ,725
 subsections ,726
 substantial ,727
 substantially ,728
 substitution ,729
 substitutions ,730
 sufficient ,731
 suggest ,732
 suggests ,733
 sum ,734
 superior ,735
 supported ,736
 suppresses ,737
 sx ,738
 symmetric ,739
 symmetries ,740
 sys ,741
 system ,742
 systematic ,743
 systems ,744
 take ,745
 task ,746
 technique ,747
 techniques ,748
 technologies ,749
 tells ,750
 tem ,751
 tems ,752
 terms ,753
 texts ,754
 th ,755
 thank ,756
 thatn ,757
 thenx ,758
 theoretic ,759
 theoretical ,760
 theory ,761
 therefore ,762
 thomas ,763
 though ,764
 three ,765
 thus ,766
 tifying ,767
 timation ,768
 time ,769
 tion ,770
 tional ,771
 tionships ,772
 tishby ,773
 tive ,774
 today ,775
 tool ,776
 tools ,777
 total ,778
 tox ,779
 tp ,780
 trans ,781
 translating ,782
 transmission ,783
 transmits ,784
 transmitted ,785
 trimmed ,786
 trimming ,787
 true ,788
 truly ,789
 tual ,790
 turns ,791
 tween ,792
 types ,793
 u ,794
 ume ,795
 un ,796
 unchanged ,797
 unclear ,798
 unfortunately ,799
 unique ,800
 united ,801
 units ,802
 universality ,803
 university ,804
 upon ,805
 us ,806
 usa ,807
 useful ,808
 utility ,809
 utilizes ,810
 v ,811
 value ,812
 vanish ,813
 vanishing ,814
 vari ,815
 variable ,816
 variables ,817
 variablesx ,818
 variate ,819
 vation ,820
 venn ,821
 versa ,822
 version ,823
 vi ,824
 via ,825
 vice ,826
 view ,827
 viewed ,828
 visualization ,829
 vocabulary ,830
 vol ,831
 vs ,832
 w ,833
 watanabe ,834
 well ,835
 wesley ,4
 widely ,836
 wiley ,837
 williams ,838
 wolf ,839
 work ,840
 working ,841
 workshop ,842
 worth ,843
 would ,844
 x ,845
 xu ,846
 xy ,847
 xz ,848
 years ,849
 yeung ,850
 yf ,851
 yield ,852
 york ,853
 ysis ,854
 z ,855
 zero ,856
 zeros ,857
 abilities ,858
 ability ,859
 academic ,860
 accepted ,861
 according ,862
 account ,863
 acknowledgements ,864
 across ,865
 address ,866
 adjustment ,867
 adjustments ,868
 adoption ,869
 affected ,870
 affects ,871
 agribusiness ,872
 agric ,873
 agricultural ,874
 aic ,875
 aim ,876
 aimed ,877
 aims ,878
 akaike ,879
 allowing ,880
 alternatively ,881
 although ,882
 american ,883
 analysed ,884
 anderson ,885
 annals ,886
 anonymous ,887
 appears ,888
 appl ,889
 approaches ,890
 approximating ,891
 article ,892
 assessment ,893
 assessments ,894
 assoc ,895
 assumptions ,896
 asymmetric ,897
 asymmetry ,898
 asymptotic ,899
 attractive ,900
 author ,901
 averaging ,902
 basis ,903
 bayes ,904
 bayesian ,905
 behav ,906
 behave ,907
 best ,908
 better ,909
 bias ,910
 bic ,911
 bickel ,912
 bp ,913
 budapest ,914
 canadian ,915
 capable ,916
 captured ,917
 captures ,918
 carlo ,919
 categorical ,920
 certain ,921
 changes ,922
 characteristics ,923
 choose ,924
 coast ,925
 coefficients ,926
 cognitive ,927
 combination ,928
 combined ,929
 combining ,930
 comm ,931
 comment ,932
 comments ,933
 commonly ,934
 compare ,935
 compared ,936
 compares ,937
 comparing ,938
 comparison ,939
 comparisons ,940
 competing ,941
 components ,942
 computed ,943
 conclusions ,944
 concurrently ,945
 conditions ,946
 conducting ,947
 consequently ,948
 considers ,949
 consistent ,950
 continued ,951
 contribute ,952
 contributes ,953
 convergence ,954
 cook ,955
 correct ,956
 correction ,957
 correctly ,958
 corresponding ,959
 covariates ,960
 criteria ,961
 criterion ,962
 csaki ,963
 current ,964
 december ,965
 decreases ,966
 defined ,967
 defines ,968
 definition ,969
 denoted ,970
 denotes ,971
 depend ,972
 depends ,973
 derivation ,974
 derived ,975
 deriving ,976
 design ,977
 designed ,978
 designs ,979
 detecting ,980
 deteriorates ,981
 determining ,982
 developed ,983
 deviation ,984
 deviations ,985
 dgp ,986
 dic ,987
 differ ,988
 difference ,989
 differences ,990
 different ,991
 differs ,992
 direct ,993
 discriminating ,994
 discussion ,995
 distinct ,996
 dr ,997
 draper ,998
 draws ,999
 eb ,1000
 echo ,1001
 econ ,1002
 economics ,1003
 ect ,1004
 ects ,1005
 eds ,1006
 ee ,1007
 effect ,1008
 effects ,1009
 efficient ,1010
 emphasize ,1011
 equal ,1012
 equation ,1013
 equilibrium ,1014
 essentially ,1015
 establish ,1016
 established ,1017
 estimate ,1018
 estimated ,1019
 estimation ,1020
 estimators ,1021
 et ,1022
 evaluate ,1023
 evaluated ,1024
 evidence ,1025
 examine ,1026
 examined ,1027
 exhibit ,1028
 existing ,1029
 experiment ,1030
 experimental ,1031
 experimentation ,1032
 experiments ,1033
 explore ,1034
 express ,1035
 extending ,1036
 extension ,1037
 extensively ,1038
 factor ,1039
 factorial ,1040
 factors ,1041
 farm ,1042
 favor ,1043
 find ,1044
 finding ,1045
 findings ,1046
 finds ,1047
 fish ,1048
 fit ,1049
 fitted ,1050
 fitting ,1051
 fluid ,1052
 focussed ,1053
 foregoing ,1054
 formal ,1055
 full ,1056
 fundamentally ,1057
 gains ,1058
 general ,1059
 generalized ,1060
 generally ,1061
 generate ,1062
 generated ,1063
 generating ,1064
 generation ,1065
 genet ,1066
 genetic ,1067
 good ,1068
 granger ,986
 grateful ,1069
 henry ,1070
 higher ,1071
 http ,1072
 hypothesis ,1073
 idea ,1074
 identical ,1075
 identifies ,1076
 identify ,1077
 illustrates ,1078
 impact ,1079
 implicitly ,1080
 importance ,1081
 improve ,1082
 improved ,1083
 improvement ,1084
 improves ,1085
 inconsistent ,1086
 increase ,1087
 increases ,1088
 increasing ,1089
 increasingly ,1090
 indicate ,1091
 indicated ,1092
 inferences ,1093
 influence ,1094
 informativeness ,1095
 integrating ,1096
 introduced ,1097
 inventory ,1098
 investigations ,1099
 issn ,1100
 issue ,1101
 jae ,1102
 journal ,1103
 journals ,1104
 jp ,1105
 justified ,1106
 kass ,1107
 ke ,1108
 kiado ,3942
 kp ,1110
 krueger ,1111
 lacks ,1112
 lagged ,1113
 larger ,1114
 ld ,1115
 lee ,1116
 length ,1117
 level ,1118
 light ,1119
 likelihood ,1120
 linearity ,1121
 list ,1122
 lo ,1123
 lower ,1124
 mail ,1125
 make ,1126
 market ,1127
 markets ,1128
 maximum ,1129
 measured ,1130
 meth ,1131
 methodological ,1132
 methodology ,1133
 meyer ,1134
 milk ,1135
 minimises ,1136
 minimize ,1137
 minimizing ,1138
 mixing ,1139
 modeling ,1140
 modelling ,1141
 models ,1142
 monte ,919
 motivates ,1143
 motivations ,1144
 multiple ,1145
 myung ,3942
 nn ,1146
 noise ,1147
 non ,1148
 nonparametric ,1149
 notes ,1150
 noticeably ,1151
 numerous ,1152
 objective ,1153
 objectives ,1154
 online ,1155
 otherwise ,1156
 outperforms ,1157
 overall ,1158
 parameters ,1159
 pattern ,1160
 patterns ,1161
 pb ,1162
 penalised ,1163
 penalized ,1164
 penalty ,1165
 percentages ,1166
 perform ,1167
 performance ,1168
 performed ,1169
 performs ,1170
 perspective ,1171
 petrov ,1172
 plugged ,1173
 point ,1174
 policy ,1175
 poorly ,1176
 positive ,1177
 power ,1178
 pp ,1179
 practical ,1180
 prefer ,1181
 preferred ,1182
 price ,1183
 prices ,1184
 principle ,1185
 probable ,1186
 problem ,1187
 produces ,1188
 production ,1189
 prof ,1190
 programming ,1191
 promise ,1192
 propagation ,1193
 proposed ,1194
 provided ,1195
 pseudo ,1196
 psychol ,1197
 psychology ,1198
 purpose ,1199
 purposes ,1200
 q ,1201
 questioned ,1202
 raftery ,1203
 ranging ,1204
 rapidly ,1205
 rates ,1206
 readily ,1207
 reasonably ,1208
 recognition ,1209
 recover ,1210
 recovered ,1211
 recovering ,1212
 recovery ,1213
 recruitment ,1214
 references ,1215
 refers ,1216
 reflects ,1217
 regards ,1218
 regression ,1219
 reinforce ,1220
 relative ,1221
 relatively ,1222
 relevance ,1223
 remained ,1224
 remaining ,1225
 replications ,1226
 representation ,1227
 respect ,1228
 respectively ,1229
 responds ,1230
 retail ,1231
 reviewed ,1232
 reviewers ,1233
 rf ,1234
 roy ,1235
 run ,1236
 sales ,1237
 sample ,1238
 samples ,1239
 schwarz ,1240
 segmentation ,1241
 select ,1242
 selected ,1243
 selecting ,1244
 shed ,1245
 simulate ,1246
 simulated ,1247
 simulates ,1248
 simulating ,1249
 simulation ,1250
 simulations ,1251
 sinica ,1252
 sizes ,1253
 slight ,1254
 small ,1255
 soc ,1256
 software ,1257
 spatial ,1258
 special ,1259
 specifically ,1260
 specified ,1261
 specifying ,1262
 speed ,1263
 speeds ,1264
 split ,1265
 squares ,1266
 stable ,1267
 statistica ,1268
 stephan ,1269
 stock ,1270
 straight ,1271
 strong ,1272
 strongly ,1273
 structures ,1274
 study ,1275
 subsequently ,1276
 suggested ,1277
 suitable ,1278
 summarize ,1279
 superficially ,1280
 support ,1281
 survey ,1282
 symmetry ,1283
 symposium ,1284
 systematically ,1285
 table ,1286
 takes ,1287
 te ,1288
 tel ,1289
 tend ,1290
 tendency ,1291
 tends ,1292
 term ,1293
 test ,1294
 tested ,1295
 testing ,1296
 tests ,1297
 theoretically ,1298
 trends ,1299
 turner ,1300
 uncertainty ,1301
 underlying ,1302
 understanding ,1303
 understood ,1304
 undertaken ,1305
 unknown ,1306
 unlike ,1307
 unstable ,1308
 upper ,1309
 validity ,1310
 valuable ,1311
 values ,1312
 variance ,1313
 varied ,1314
 various ,1315
 visual ,1316
 von ,1317
 wang ,1318
 wasserman ,1319
 weeks ,1320
 wheat ,1321
 whether ,1322
 whilst ,1323
 within ,1324
 without ,1325
 words ,1326
 world ,1327
 worse ,1328
 written ,1329
 www ,1330
 yahoo ,1331
 yang ,1332
 zhang ,1333
 aarts ,1334
 absence ,1335
 absorbing ,1336
 abstract ,1337
 ac ,1338
 accepts ,1339
 accuracy ,1340
 accurate ,1341
 accurately ,1342
 acm ,1343
 action ,1344
 actions ,1345
 actor ,1346
 actual ,1347
 actually ,1348
 adaption ,1349
 adaptive ,1350
 adaptively ,1351
 adequate ,1352
 adjusts ,1353
 adopt ,1354
 adopted ,1355
 advance ,1356
 advanced ,1357
 advantage ,1358
 advisable ,1359
 ag ,1360
 age ,1361
 agent ,1362
 agents ,1363
 ak ,1364
 alent ,1365
 algo ,1366
 algorithm ,1367
 alignment ,1368
 allocation ,1369
 allowed ,1370
 almost ,1371
 alon ,1372
 alteration ,1373
 always ,1374
 ambiguous ,1375
 analytic ,1376
 annealing ,1377
 announce ,1378
 ant ,1379
 ants ,1380
 apart ,1381
 appear ,1382
 appropriate ,1383
 approximate ,1384
 approximately ,1385
 approximation ,1386
 argmax ,1387
 argmin ,1388
 arnold ,1389
 arrows ,1390
 art ,1391
 articles ,1392
 asp ,1393
 assigned ,1394
 assigning ,1395
 assignment ,1396
 assigns ,1397
 associate ,1398
 associated ,1399
 assume ,1400
 assumed ,1401
 assumption ,1402
 asymptotically ,1403
 attained ,1404
 attempt ,1405
 attention ,1406
 au ,1407
 audience ,1408
 australia ,1409
 automated ,1410
 automatic ,1411
 automatically ,1412
 auxiliary ,1413
 ave ,1414
 aver ,1415
 average ,1416
 avoid ,1417
 back ,1418
 badly ,1419
 bap ,1420
 bartlett ,1421
 barto ,1422
 base ,1423
 baxter ,1424
 bean ,1425
 bears ,1426
 beauty ,1427
 becomes ,1428
 beginning ,1429
 behind ,1430
 belong ,1431
 belongs ,1432
 benchmark ,1433
 ber ,1434
 bernoulli ,1435
 bertsekas ,1436
 besides ,1437
 biggest ,1438
 bilities ,1439
 bility ,1440
 binary ,1441
 black ,1442
 blackwell ,1443
 boltzmann ,1444
 book ,1445
 bound ,1446
 bounded ,1447
 bounds ,1448
 box ,1449
 brackets ,1450
 branch ,1451
 brisbane ,1452
 broad ,1453
 broken ,1454
 bt ,1455
 buffer ,1456
 business ,1457
 calculate ,1458
 calculation ,1459
 called ,1460
 calls ,1461
 canada ,1462
 capacity ,1463
 carried ,1464
 carry ,1465
 casen ,1466
 cases ,1467
 casting ,1468
 ce ,1469
 centers ,1470
 centroid ,1471
 centroids ,1472
 cf ,1473
 challenging ,1474
 change ,1475
 chapter ,1476
 chart ,1477
 check ,1478
 choice ,1479
 chooses ,1480
 choosing ,1481
 chosen ,1482
 cially ,1483
 cij ,1484
 circles ,1485
 cities ,1486
 city ,1487
 ck ,1488
 claim ,1489
 classes ,1490
 classical ,1491
 client ,1492
 clique ,1493
 closely ,1494
 closer ,1495
 cluster ,1496
 clustering ,1497
 clusters ,1498
 cm ,1499
 cn ,1500
 cohen ,1501
 collected ,1502
 collection ,1503
 colony ,1504
 column ,1505
 combinatorial ,1506
 combine ,1507
 company ,1508
 complete ,1509
 completely ,1510
 completeness ,1511
 complicated ,1512
 compo ,1513
 comprises ,1514
 compute ,1515
 computer ,1516
 computers ,1517
 concerning ,1518
 concerns ,1519
 connected ,1520
 connection ,1521
 considering ,1522
 consist ,1523
 consists ,1524
 constant ,1525
 constitute ,1526
 construct ,1527
 construction ,1528
 continu ,1529
 continue ,1530
 continuous ,1531
 convenient ,1532
 converge ,1533
 converged ,1534
 converges ,1535
 convex ,1536
 coordinate ,1537
 cop ,1538
 corner ,1539
 corre ,1540
 correspond ,1541
 cost ,1542
 count ,1543
 counter ,1544
 counterpart ,1545
 counting ,1546
 course ,1547
 cpu ,1548
 creating ,1549
 critic ,1550
 critical ,1551
 cross ,1552
 crossover ,1553
 crucial ,1554
 crude ,1555
 cs ,1556
 customers ,1557
 cut ,1558
 cxn ,1559
 cybernetics ,1560
 dataset ,1561
 davidson ,1562
 dealing ,1563
 decision ,1564
 decodes ,1565
 decoding ,1566
 decreasing ,1567
 degenerate ,1568
 degenerated ,1569
 delivers ,1570
 denoting ,1571
 densities ,1572
 density ,1573
 depending ,1574
 derivatives ,1575
 derive ,1576
 describe ,1577
 described ,1578
 deserves ,1579
 designate ,1580
 desired ,1581
 detail ,1582
 details ,1583
 deterministic ,1584
 developments ,1585
 diagonal ,1586
 diego ,1587
 differentiable ,1588
 differentiating ,1589
 dirac ,1590
 directed ,1591
 direction ,1592
 dirk ,1593
 discuss ,1594
 discussed ,1595
 display ,1596
 displays ,1597
 disregarding ,1598
 distance ,1599
 distinguish ,1600
 distortion ,1601
 distribute ,1602
 distributed ,1603
 distributions ,1604
 ditions ,1605
 divide ,1606
 dna ,1607
 done ,1608
 dots ,1609
 draw ,1610
 drawback ,1611
 drawing ,1612
 due ,1613
 dx ,1614
 dynamic ,1615
 ea ,1616
 ease ,1617
 easier ,1618
 easiest ,1619
 easy ,1620
 ece ,1621
 ed ,1622
 edge ,1623
 edges ,1624
 editor ,1625
 effort ,1626
 eg ,1627
 eh ,1628
 ei ,1629
 electrical ,1630
 elite ,1631
 els ,1632
 embodied ,1633
 emphasized ,1634
 encode ,1635
 encoding ,1636
 encourage ,1637
 encouraged ,1638
 end ,1639
 engineers ,1640
 enjoys ,1641
 enough ,1642
 ensure ,1643
 ensures ,1644
 entry ,1645
 enumeration ,1646
 environment ,1647
 ep ,1648
 equations ,1649
 equiv ,1650
 equivalently ,1651
 erence ,1652
 errors ,1653
 ery ,1654
 espe ,1655
 especially ,1656
 estima ,1657
 estimates ,1658
 estimator ,1659
 etc ,1660
 eter ,1661
 eu ,1662
 euclidean ,1663
 european ,1664
 ev ,1665
 evaluating ,1666
 evaluation ,1667
 event ,1668
 events ,1669
 eventually ,1670
 every ,1671
 everyday ,1672
 ew ,1673
 ex ,1674
 examples ,1675
 exceed ,1676
 except ,1677
 exp ,1678
 expectation ,1679
 expectations ,1680
 expected ,1681
 experimentally ,1682
 explain ,1683
 explicitly ,1684
 exploring ,1685
 exponential ,1686
 exponentially ,1687
 exposition ,1688
 expressed ,1689
 expression ,1690
 ext ,1691
 extend ,1692
 extra ,1693
 face ,1694
 facilitates ,1695
 faculty ,1696
 failure ,1697
 fairly ,1698
 family ,1699
 fast ,1700
 faster ,1701
 feasible ,1702
 featuring ,1703
 figure ,1704
 figures ,1705
 file ,1706
 finite ,1707
 fora ,1708
 forbidden ,1709
 forc ,1710
 forcement ,1711
 fore ,1712
 forever ,1713
 formally ,1714
 formed ,1715
 former ,1716
 formula ,1717
 formulas ,1718
 formulate ,1719
 formulated ,1720
 found ,1721
 foundations ,1722
 fraction ,1723
 frame ,1724
 francisco ,1725
 freeman ,1726
 fully ,1727
 garey ,1728
 gat ,1729
 gave ,1730
 generality ,1731
 generations ,1732
 generic ,1733
 gentle ,1734
 get ,1735
 getting ,1736
 give ,1737
 global ,1738
 go ,1739
 goal ,1740
 going ,1741
 goldberg ,1742
 got ,1743
 govern ,1744
 gradient ,1745
 graph ,1746
 graphs ,1747
 greater ,1748
 grid ,1749
 groups ,1750
 guarantee ,1751
 guaranteeing ,1752
 guidance ,1753
 guide ,1754
 guided ,1755
 haifa ,1756
 half ,1757
 happen ,1758
 hard ,1759
 haves ,1760
 havior ,1761
 heavy ,1762
 heidelberg ,1763
 hence ,1764
 heuristic ,1765
 heuristics ,1766
 highest ,1767
 history ,1768
 hk ,1769
 horizon ,1770
 hui ,1771
 ideas ,1772
 ie ,1773
 iid ,1774
 il ,1775
 illustrate ,1776
 illustration ,1777
 ima ,1778
 image ,1779
 implementation ,1780
 implemented ,1781
 imum ,1782
 inadvances ,1783
 inc ,1784
 include ,1785
 included ,1786
 includes ,1787
 indicates ,1788
 indicator ,1789
